Order_ID,Product,Order_Date,Delivered_Date,RTO_Initiated_Date,Delivery_Status,City,State,Quantity,Order_Value
100860,Backpack,21-11-2024,,23-11-2024,RTO,Chennai,Delhi,2,4873
103772,Laptop,22-12-2024,23-12-2024,,Delivered,Hyderabad,Maharashtra,4,14673
103092,Mobile,30-12-2024,09-01-2025,,Delivered,Pune,Karnataka,1,41657
100466,Laptop,17-07-2024,30-07-2024,,Delivered,Pune,Telangana,4,41032
104426,Laptop,28-08-2024,04-09-2024,,Delivered,Chennai,Delhi,3,44490
103444,Backpack,19-08-2024,,21-08-2024,RTO,Bengaluru,Maharashtra,3,23195
103171,Mobile,29-07-2024,02-08-2024,,Delivered,Bengaluru,Tamil Nadu,3,35829
102919,Laptop,21-02-2024,02-03-2024,,Delivered,Pune,Telangana,3,28711
100130,Laptop,28-04-2024,,30-04-2024,RTO,Mumbai,Tamil Nadu,3,37561
101685,Laptop,25-11-2024,07-12-2024,,Delivered,Bengaluru,Maharashtra,4,20607
100769,Watch,02-08-2024,10-08-2024,,Delivered,Hyderabad,Karnataka,2,4358
102391,Mobile,17-11-2024,01-12-2024,,Delivered,Pune,Tamil Nadu,1,15971
102433,Laptop,28-05-2024,03-06-2024,,Delivered,Delhi,Tamil Nadu,3,24872
101184,Headphones,24-06-2024,02-07-2024,,Delivered,Delhi,Maharashtra,3,25245
104555,Watch,25-09-2024,,,Cancelled,Mumbai,Karnataka,2,7201
103385,Mobile,15-11-2024,,17-11-2024,RTO,Pune,Tamil Nadu,4,41651
104117,Backpack,05-01-2024,06-01-2024,,Delivered,Bengaluru,Tamil Nadu,2,34842
104843,Headphones,25-04-2024,,,Cancelled,Hyderabad,Delhi,3,2805
102904,Laptop,21-07-2024,30-07-2024,,Delivered,Chennai,Karnataka,2,25882
100474,Laptop,06-02-2024,19-02-2024,,Delivered,Chennai,Maharashtra,2,28948
101082,Shoes,23-02-2024,07-03-2024,,Delivered,Delhi,Karnataka,1,9423
102558,Shoes,14-10-2024,23-10-2024,,Delivered,Bengaluru,Telangana,2,43197
102047,Watch,10-10-2024,14-10-2024,,Delivered,Pune,Maharashtra,1,40926
102747,Backpack,26-03-2024,04-04-2024,,Delivered,Bengaluru,Karnataka,2,36968
100975,Shoes,14-02-2024,23-02-2024,,Delivered,Pune,Maharashtra,2,8983
101806,Headphones,10-10-2024,,12-10-2024,RTO,Chennai,Karnataka,1,9215
100189,Mobile,16-11-2024,,,Cancelled,Bengaluru,Tamil Nadu,4,11011
102734,Headphones,10-03-2024,23-03-2024,,Delivered,Bengaluru,Delhi,3,46634
103005,Backpack,11-02-2024,12-02-2024,,Delivered,Chennai,Tamil Nadu,1,33433
104658,Backpack,28-09-2024,,30-09-2024,RTO,Bengaluru,Karnataka,4,18555
101899,Backpack,20-05-2024,21-05-2024,,Delivered,Delhi,Karnataka,1,46480
101267,Headphones,28-02-2024,02-03-2024,,Delivered,Chennai,Karnataka,4,15966
101528,Backpack,27-08-2024,30-08-2024,,Delivered,Bengaluru,Delhi,1,30515
103202,Laptop,16-02-2024,,18-02-2024,RTO,Bengaluru,Karnataka,1,35995
103556,Headphones,15-06-2024,20-06-2024,,Delivered,Mumbai,Tamil Nadu,2,5563
103890,Backpack,19-04-2024,24-04-2024,,Delivered,Chennai,Tamil Nadu,3,31954
100646,Headphones,05-05-2024,10-05-2024,,Delivered,Chennai,Delhi,4,46407
102888,Laptop,25-10-2024,,27-10-2024,RTO,Chennai,Karnataka,4,14314
102435,Headphones,18-04-2024,,20-04-2024,RTO,Delhi,Tamil Nadu,1,2675
100600,Shoes,13-06-2024,17-06-2024,,Delivered,Chennai,Maharashtra,1,6633
102363,Backpack,15-09-2024,25-09-2024,,Delivered,Pune,Tamil Nadu,2,7643
102061,Backpack,16-03-2024,24-03-2024,,Delivered,Bengaluru,Telangana,1,47619
100241,Headphones,07-01-2024,20-01-2024,,Delivered,Delhi,Delhi,4,6896
102041,Shoes,04-07-2024,09-07-2024,,Delivered,Hyderabad,Maharashtra,2,32811
102824,Watch,02-10-2024,09-10-2024,,Delivered,Chennai,Maharashtra,3,8635
102612,Mobile,19-03-2024,20-03-2024,,Delivered,Hyderabad,Maharashtra,4,46123
101363,Mobile,05-03-2024,10-03-2024,,Delivered,Delhi,Telangana,3,44920
101478,Watch,24-04-2024,07-05-2024,,Delivered,Bengaluru,Telangana,3,33888
102556,Headphones,20-07-2024,,22-07-2024,RTO,Bengaluru,Karnataka,3,30861
100775,Laptop,21-05-2024,31-05-2024,,Delivered,Pune,Karnataka,2,12468
104014,Backpack,07-04-2024,19-04-2024,,Delivered,Pune,Tamil Nadu,2,42491
100034,Mobile,31-10-2024,11-11-2024,,Delivered,Bengaluru,Telangana,1,40340
103152,Mobile,04-08-2024,12-08-2024,,Delivered,Chennai,Karnataka,3,35163
101955,Backpack,14-03-2024,19-03-2024,,Delivered,Hyderabad,Karnataka,3,12996
101585,Laptop,19-10-2024,,,Cancelled,Mumbai,Delhi,3,47744
103943,Backpack,13-05-2024,14-05-2024,,Delivered,Mumbai,Tamil Nadu,4,32190
103073,Shoes,18-09-2024,02-10-2024,,Delivered,Mumbai,Telangana,3,14869
101021,Headphones,10-10-2024,12-10-2024,,Delivered,Mumbai,Telangana,1,8991
103461,Watch,11-04-2024,17-04-2024,,Delivered,Mumbai,Tamil Nadu,3,45013
102613,Watch,24-07-2024,,26-07-2024,RTO,Chennai,Delhi,3,15750
103843,Mobile,20-05-2024,,22-05-2024,RTO,Bengaluru,Tamil Nadu,4,41635
101500,Mobile,13-01-2024,22-01-2024,,Delivered,Hyderabad,Maharashtra,4,48134
104798,Laptop,05-09-2024,,,Cancelled,Pune,Maharashtra,4,28413
100161,Laptop,02-05-2024,04-05-2024,,Delivered,Pune,Telangana,4,18140
104297,Backpack,10-01-2024,,12-01-2024,RTO,Bengaluru,Telangana,2,13729
101981,Backpack,20-03-2024,27-03-2024,,Delivered,Pune,Tamil Nadu,1,9546
100995,Mobile,15-06-2024,,17-06-2024,RTO,Pune,Maharashtra,4,47925
104911,Mobile,08-04-2024,,10-04-2024,RTO,Delhi,Karnataka,3,47088
103342,Watch,25-07-2024,27-07-2024,,Delivered,Chennai,Telangana,2,27056
104551,Shoes,30-05-2024,08-06-2024,,Delivered,Mumbai,Telangana,1,34328
103798,Shoes,06-02-2024,18-02-2024,,Delivered,Mumbai,Tamil Nadu,1,7536
101275,Backpack,20-09-2024,,22-09-2024,RTO,Delhi,Telangana,3,29718
101016,Mobile,07-12-2024,13-12-2024,,Delivered,Delhi,Delhi,2,14902
100337,Mobile,05-01-2024,12-01-2024,,Delivered,Mumbai,Karnataka,4,580
100878,Mobile,13-08-2024,15-08-2024,,Delivered,Mumbai,Delhi,4,42676
101076,Backpack,27-01-2024,,29-01-2024,RTO,Hyderabad,Maharashtra,4,2039
104887,Backpack,03-05-2024,09-05-2024,,Delivered,Mumbai,Tamil Nadu,4,16780
103993,Watch,25-10-2024,07-11-2024,,Delivered,Mumbai,Telangana,2,47284
104859,Mobile,04-02-2024,15-02-2024,,Delivered,Pune,Tamil Nadu,3,27384
100379,Shoes,24-08-2024,,26-08-2024,RTO,Delhi,Maharashtra,1,29418
100492,Headphones,06-11-2024,,08-11-2024,RTO,Pune,Karnataka,3,12196
102062,Backpack,12-11-2024,,,Cancelled,Pune,Tamil Nadu,3,23689
103884,Watch,29-10-2024,05-11-2024,,Delivered,Hyderabad,Telangana,4,2859
100064,Shoes,11-04-2024,,,Cancelled,Mumbai,Delhi,3,44710
102568,Shoes,17-03-2024,23-03-2024,,Delivered,Delhi,Tamil Nadu,3,40704
102027,Headphones,07-11-2024,,09-11-2024,RTO,Hyderabad,Maharashtra,4,32228
102695,Shoes,22-03-2024,,24-03-2024,RTO,Mumbai,Telangana,3,30199
101495,Shoes,25-05-2024,04-06-2024,,Delivered,Chennai,Delhi,1,38998
100391,Shoes,11-07-2024,,13-07-2024,RTO,Delhi,Delhi,1,30190
104514,Backpack,11-08-2024,,13-08-2024,RTO,Hyderabad,Maharashtra,4,9878
104474,Backpack,22-02-2024,24-02-2024,,Delivered,Hyderabad,Tamil Nadu,2,30400
103561,Headphones,10-12-2024,23-12-2024,,Delivered,Chennai,Telangana,3,4296
102278,Headphones,25-03-2024,26-03-2024,,Delivered,Hyderabad,Karnataka,1,23731
103099,Watch,08-05-2024,,,Cancelled,Mumbai,Maharashtra,3,48071
100200,Backpack,29-07-2024,,31-07-2024,RTO,Mumbai,Karnataka,3,9904
104875,Laptop,17-12-2024,31-12-2024,,Delivered,Delhi,Telangana,3,29779
103104,Laptop,20-09-2024,24-09-2024,,Delivered,Hyderabad,Maharashtra,2,25255
104598,Backpack,01-07-2024,,,Cancelled,Chennai,Maharashtra,2,6096
